Planta,Descripcion Planta,Codigo Proceso,Codigo Nombre,Descripcion Proceso,Descripcion Nombre,Codigo Equipo,Cantidad de equipos ,Compliance Asset Id,ID
PTAR1,PTAR1,RL,RASP,Retorno de lodo,Bombas sumergible para retorno de lodo,PTAR1.RL.RASP,3.0,,1
PTAR1,PTAR1,RL,WASP,Retorno de lodo,Bombas sumergible para residuo de lodo,PTAR1.RL.WASP,1.0,,2
PTAR1,PTAR1,RL,MIL,Retorno de lodo,Mixer de lodo de 3 HP,PTAR1.RL.MIL,1.0,,3
PTAR1,PTAR1,AA,AE,Aireación y anoxico ,Aireador de 20 HP,PTAR1.AA.AE,14.0,,4
PTAR1,PTAR1,AA,MI,Aireación y anoxico ,Mixer Dirrecional,PTAR1.AA.MI,12.0,,5
PTAR1,PTAR1,DOC,CLR,Dosificación y control,Clarificador Tratamiento 1,PTAR1.DOC.CLR,1.0,,6
PTAR2,PTAR2,RL,TSP,Retorno de lodo,Bomba de envio de lodo ,PTAR2.RL.TSP,1.0,,7
PTAR2,PTAR2,RL,RASP,Retorno de lodo,Bomba centrifuga retorno de lodo RAS ,PTAR2.RL.RASP,2.0,,8
PTAR2,PTAR2,RL,FP,Retorno de lodo,Filtro Prensa,PTAR2.RL.FP,2.0,,9
PTAR2,PTAR2,AA,CMQ,Aireación y anoxico ,Combinador de quimicos,PTAR2.AA.CMQ,1.0,,10
PTAR2,PTAR2,AA,MI,Aireación y anoxico ,Mixer,PTAR2.AA.MI,4.0,,11
PTAR2,PTAR2,AA,AE,Aireación y anoxico ,Aireador de 50 HP,PTAR2.AA.AE,14.0,,12
PTAR2,PTAR2,DOC,SCF,Dosificación y control,Secador frigorífico ,PTAR2.DOC.SCF,1.0,,13
PTAR2,PTAR2,DOC,CTR,Dosificación y control,Compresor de tornillo,PTAR2.DOC.CTR,1.0,,14
PTAR2,PTAR2,DOC,BDT,Dosificación y control,Bomba Dosificadoras Tratamiento de quimicos,PTAR2.DOC.BDT,6.0,,15
PTAR2,PTAR2,DOC,CLR,Dosificación y control,Clarificador Tratamiento,PTAR2.DOC.CLR,1.0,,16
PTAR2,PTAR2,DOC,ESL,Dosificación y control,Espesador de lodo,PTAR2.DOC.ESL,1.0,,17
PTAR2,PTAR2,DOC,MTL,Dosificación y control,Mixer tanque de lodo,PTAR2.DOC.MTL,1.0,,18
PTAR2,PTAR2,DOC,BBD,Dosificación y control,Bomba Dosificadora,PTAR2.DOC.BBD,2.0,,19
PDO,Planta Ozono,AEC,CTR,Generación de Aire Comprimido,Compresor de tornillo,PDO.AEC.CTR,2.0,,20
PDO,Planta Ozono,AEC,SCF,Generación de Aire Comprimido,Secador frigorífico ,PDO.AEC.SCF,2.0,,21
PDO,Planta Ozono,GDO,GO2,Generación de Oxigeno,Generador de Oxigeno,PDO.GDO.GO2,2.0,,22
PDO,Planta Ozono,GDO,GOZ,Generación de Oxigeno,Generador de OZONO,PDO.GDO.GOZ,1.0,,23
PDO,Planta Ozono,GDO,CHR,Generación de Oxigeno,CHILLER ,PDO.GDO.CHR,1.0,,24
PDO,Planta Ozono,ADO,MC,Área de dosificación de Ozono,Monitoreo y control de fluido de ozono,PDO.ADO.MC,1.0,,25
PDO,Planta Ozono,ADO,BBI,Área de dosificación de Ozono,Bombas de inyeccion de ozono,PDO.ADO.BBI,3.0,,26
PDO,Planta Ozono,ADO,DT,Área de dosificación de Ozono,Destructor de Ozono ,PDO.ADO.DT,1.0,,27
PDO,Planta Ozono,ADO,MDE,Área de dosificación de Ozono,Muestreador de efluentes,PDO.ADO.MDE,2.0,,28
PSVZ,Suavizadores Y Pozos,CTN,BBS,Cisternas,Bomba Suavizados de 125 HP,PSVZ.CTN.BBS,3.0,,29
PSVZ,Suavizadores Y Pozos,SVDR,BTS,Suavidadores,Bomba Tanques de Suavizadores,PSVZ.SVDR.BTS,9.0,,30
PSVZ,Suavizadores Y Pozos,SVDR,TSVD,Suavidadores,Suavizadores ,PSVZ.SVDR.TSVD,5.0,,31
PSVZ,Suavizadores Y Pozos,MZS,BCS,Mezcladores de sal,Bomba Concentrador de sal,PSVZ.MZS.BCS,5.0,,32
PSVZ,Suavizadores Y Pozos,MZS,MIS,Mezcladores de sal,Mixer de sal ,PSVZ.MZS.MIS,2.0,,33
PCLD,Calderas,GDV,OSI,Generador de Vapor,Osmosis inversa,PCLD.GDV.OSI,1.0,,34
PCLD,Calderas,GDV,BEA,Generador de Vapor,Bomba para envio de agua,PCLD.GDV.BEA,12.0,,35
PCLD,Calderas,GDV,TCDL,Generador de Vapor,Calderas,PCLD.GDV.TCDL,4.0,,36
