0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de BEA,,,
,,,,,
,,Especificaciones,,,Ilustración del equipo 
,,"•	Motor marca BALDOR 25 HP 60HZ 256TC 230/460V 58/29A 3530 RPM 
•	Bomba marca GOULDS WATER TECHNOLOGY e-SV modelo 33SV52GM4C54
•	Motor marca BALDOR 20 HP 60HZ 254TCZ 230/460V 46/23A 3450 RPM 
•	Bomba marca GRUNDFOS TECHNOLOGY modelo CR32-6-2 A-GA-E-HOOE 60 HZ 3521 RPM 159 GPM
•	Motor  marca GRUNDFOS TECHNOLOGY modelo ML132DA-2-213TC 60 HZ 230/460V 18/9A 3515 RPM
•	Bomba marca GRUNDFOS TECHNOLOGY modelo CRI15-03 A-FGJ-I-E-HQQE 7.5 HP  60 HZ 3461 RPM 90.26 GPM",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,BOMBA,Anualmente,Inspecciones generales de la Bomba (Verificar temperatura y verficiar desgaste en Sellos mecanicos),"•	Equipo de protección 
•	Grasa para sellos y rodamientos Chevron® SRI NLGI grado 2. o sus equivalentes
•	Cámara térmica
•	Equipo de calibración
•	Vibrómetro
•	Mazo
•	Alicates y tenazas
•	Llaves y llaves de tubo
•	Extractores de rodamientos
•	En caso de cambio de sellos mecanicos usar sellos mecánicos de cartucho
•	Repuestos originales con GOULDS WATER Modelo e-SV o GRUNDFOS "
,,BOMBA,Anualmente,Verificar funcionamiento y limpiar impulsor de la bomba y cambiar si es necesario ,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
•	Cámara termica
•	Equipo de calibración
•	Juntas, Selladores y retenedores"
,,BOMBA,Semestral,Revisar acople y Alineamiento,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Llaves y llaves de tubo
•	Mazo
•	Equipo de calibración"
,,MOTOR,Semestral,Inspecciones generales del Motor (Verificar temperatura y parámetros eléctricos),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Vibrómetro
•	Llaves y llaves de tubo
•	Mazo
•	Alicates y tenazas
•	Extractores de rodamientos
•	Juntas y selladores
•	Repuestos originales con Bardor"
,,MOTOR,Anualmente,"Mantenimiento de los rodamientos y sellos del motor (Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, sellos, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos Chevron® SRI NLGI grado 2, o sus equivalentes
•	Kit de limpieza
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos
•	Cambio de rodamientos dependiendo modelo 
"
,,MOTOR,Anualmente,Limpiar el motor y mantener las aberturas de ventilación despejadas,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Estructura,Anualmente,"Comprobar la integridad de todos los pernos, y alineamiento de la Bomba.","•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Equipo de calibración 
•	Medidor de torque de tuercas"
,,Sistema de tuberias y válvulas,Anualmente,Comprobar el estado y la seguridad de las tuberías.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Mazo"
,,Sistema de tuberias y válvulas,Anualmente,Comprobar el estado y la seguridad de las conexiones de las válvulas,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Selladores
•	Llaves y llaves de tubo"
,,Sistema de tuberias y válvulas,Anualmente,Comprobar funcionamiento de la válvula de Pie,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo"
,,Panel de control,Semestral,Inspección visual y limpieza a los ventiladores de refrigeración y a los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Panel de control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
