0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de TCDL,,,
,,,,,
,,Especificaciones,,,Ilustración del equipo 
,,"MODEL CB 
PACKAGED BOILER
Energía Principal 460V 3PH 60HZ 87AMP
MINIMA CAPACIDAD 103 AMP
MAX CAPACIDAD 348 AMP
MOTOR SOPLADOR 50 HP
MOTOR COMPRESSOR 7.5 HP
CALENTADOR DE ACEITE 7.5 KW
CONTROL CIRCUITO 120V 1PH 60HZ 7AMP
MOTOR BOMBA ACEITE 460V 3PH 60 HZ 1.6AMP",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,QUEMADOR,Cada 2 Dias,Cambio de boquillas,"•	Equipo de protección 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Repuestos de boquillas con CLEAVER BROOKS O POWERMASTER"
,,QUEMADOR,Semanal,Revisar el quemador (Verificar funcionamiento) ,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,QUEMADOR,Semanal,Verificar que exista buena Combustión (Observando la temperatura de la chimenea),"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,QUEMADOR,Mensual,Limpiar electrodos ,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,QUEMADOR,Mensual,Revisar cables de ignición y aisladores de ignición,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,QUEMADOR,Mensual,Limpiar Fotocelda,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,QUEMADOR,Trimestral,Revisar aisladores de ignición,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,QUEMADOR,Trimestral,Revision de Piloto de Gas( fugas y limpiar la salida de conducción),"•	Equipo de protección 
•	Llevar un formato de revisión de rutinas y base de datos
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,QUEMADOR,Trimestral,Limpiar el quemador,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Estructura de Caldera,Semestral,Inspeccionar funcionamiento válvula de seguridad,"•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Estructura de Caldera,Semestral,Inspeciona válvula dosificadora de fuel-oil (Buscar fugas y reemplazar si es necesario),"•	Equipo de protección 
•	Inspección visual en busca de fugas
•	Llevar un formato de revisión de rutinas y base de datos"
,,Estructura de Caldera,Semestral,"Inspección visual en busca de daños o fugas y limpieza de la tuberia de agua, vapor, gases de combustión. ","•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
