0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,,Plan de mantenimiento INO,,,,,,Limpieza de tanque con Empresas capacitada,
,,,,,,,,,
,,Especificaciones,,,Ilustración de equipo,,,Intervalo,Labor de mantenimiento  
,,"•	3 Bombas marca GR U4B65S-B SELF PRIMING, 20 HP
•	3 Motores marca TOSHIBA, 25 HP 60 HZ, 1770 RPM, 230/460 V 62/31 AMP, 284T FRAME, TEFC 
•	3 Variadores de Frecuencia
•	Analizador de Ozono de Higiene Industrial Marca TELEDYNE Modelo 465L
•	Sistema de válvulas y tuberías
•	Sensores de presión
•	Panel de control",,,,,,Cada 2 años,"Realizar mantenimiento de tanques en el área de dosificación de ozono:
•	Inspecciones de suelo
•	Inspecciones del concreto en busca de grietas y reparación 
•	Retirar lodo del fondo de los tanques
•	Revisión de sellos de empaques de las escotillas"
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas,,,,
,,Bombas,Semestral,Inspecciones generales de las bombas(Verificar temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Juntas y selladores
•	Repuestos originales con GORMAN‐RUPP PUMPS modelo GR U4B65S-B",,,,
,,Bomba,Anualmente,Verificar funcionamiento y limpiar impulsor de la bomba y cambiar si es necesario ,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo",,,,
,,Bombas,Anualmente,"Mantenimiento de los rodamientos de los bombas(Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos SAE No. 30, en caso de cambio rodamientos S1088 DE y S375 ODE
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos y poleas 
•	Selladores",,,,
,,Bombas,Anualmente,"Revisar los acoples y Fajas, cambiar si es nesecario","•	Equipo de protección 
•	Inspección visual en busca de daños o desgastes (Registro de base de datos)
•	Cámara térmico 
•	Equipo de calibración y alineación 
•	Medidor de espesor
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
En caso de repuestos originales 
•	GORMAN‐RUPP PUMPS, y Fajas Trapezoidales 5VX730 de Elementos Industriales S.A. de C.V.",,,,
,,Motores,Semestral,Inspecciones generales de los motores(Verificar temperatura y parametros eléctricos),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Juntas y selladores
•	Repuestos originales con TOSHIBA",,,,
,,Motores,Semestral,Limpiar el motor y mantener las aberturas de ventilación despejadas,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores
•	Kit de limpieza
•	Llaves de boca y llaves de cubo",,,,
,,Motores,Anualmente,"Mantenimiento de los rodamientos de los motores(Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos Mobil Polyrex® EM o sus equivalentes, en caso de cambio rodamientos 6310ZC3 DE y ODE
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos y poleas 
•	Selladores",,,,
,,Panel de control,Diariamente,Revisar datos y parámetros en los Sensores y verificar alarmas,"•	Equipo de protección 
•	Tener un formato de revision de rutinas y base de datos",,,,
,,Panel de control,Semestral,Inspección visual y limpieza a los ventiladores de refrigeración y a los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores",,,,
,,Panel de control,Semestral,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas  en el hardware(Medir tensión, corriente y medir aislamiento), y de igual manera revisar los circuitos internos del Variador de Frecuencia","•	Equipo de protección 
•	Cámara termica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Tenazas y Alicates
•	Multímetro
•	Megóhmetro
•	Osciloscopio
•	Llaves dinamométricas",,,,
,,Panel de control,Anualmente,"Comprobar el funcionamiento de los IGBT y Capacitores en el Bus de CC (Realizar pruebas de medición, verificar temperaturas y cambiar si es necesario)","•	Equipo de protección 
•	Cámara termica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Tenazas y Alicates
•	Multímetro
•	Llaves dinamométricas
•	Kit de cambio IGBT
•	Kit de Capacitadores",,,,
,,Sistema de Válvulas y Tuberias,Trimestral,Comprobar el estado y la seguridad de las conexiones de las tuberías.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Kit de Destornilladores",,,,
,,Sistema de Válvulas y Tuberias,Trimestral,Comprobar el estado y la seguridad de las conexiones de las mangueras.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Repuestos Mangueras flexibles de 1"" MPT METAL 0-140 psi",,,,
,,Sistema de Válvulas y Tuberias,Trimestral,Comprobar el estado y la seguridad de las conexiones de las válvulas,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Repuestos ASCO Valves series 200 y 500 y Válvulas Delval Serie 50/52",,,,
,,Actuadores Neumáticos.,Anualmente,Comprobar el estado y funcionamiento de los actuadores Neumáticos.,"•	Equipo de protección 
•	Manómetro 
•	Cámara termográfica
•	Equipo de calibración
•	Kit de Destornilladores
•	Selladores
•	Llaves de tubo
•	Llaves de boca
•	Repuestos DelTech Controls Modelo DelTorq - 21 Actuator",,,,
,,Analizador de Ozono,Diariamente,Revisar los datos y resultados del analizador de Ozono de Higiene Industrial,•	Llevar un formato de revisión de rutinas y base de datos,,,,
,,Analizador de Ozono,Semestral,Sustituir el filtro de partículas,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Llaves de boca
•	Repuestos API MODEL 465L",,,,
,,Analizador de Ozono,Cada 2 años ,Sustituir la bomba de muestreo,"•	Equipo de protección 
•	Manómetro
•	Equipo de calibración
•	Abrazaderas y Selladores
•	Kit de Destornilladores
•	Llaves y llaves de tubo
•	Repuestos API MODEL 465L",,,,
,,Analizador de Ozono,Cada 2 años ,Sustituir módulo sensor de la Válvula,"•	Equipo de protección 
•	Multímetro
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Llaves dinamométricas
•	Alicates
•	Repuestos API MODEL 465L",,,,
