0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento Generador de Ozono,,,
,,,,,
,,Especificaciones Tecninas,,,Ilustración de equipo 
,,"Generador de Ozono Marca Pinnacle, modelo APEX con 3 Racks de 12 generadores 3SMU C/U, capacidad pico de 8kg/hr",,,
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas
,,Generadores de Ozono ,Anual ,Inspeccionar tarjetas electronicas y remover polvillo residual ,
,,Generadores de Ozono ,Anual ,Inspeccionar y limpiar conexiones de gas y agua ,
,,Distribucion de fluidos,Anual ,Reemplazar aislamiento dañado ,
,,Distribucion de fluidos,Anual ,Verificacion de valvulas actuadas ,
,,Distribucion de fluidos,Anual ,Busqueda y reparacion de fugas de gases y refrigerante ,
,,Intercambiadores,Anual ,Reemplazar aislamiento ,
,,Intercambiadores,Anual ,Verificar integridad de intercambiadores ,
,,Electronica ,Anual ,"Drive AC/DC, medicion de puente rectificador y etapa de capacitores ",
