0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento CHILLER,,,
,,,,,
,,Especificaciones Tecninas,,,Ilustración de equipo 
,,"TAEevo Tech CHILLER 502
- Gas Refrigerante: R410A (50% Difluoromethane (R32); 50% Pentafluoroethane).
- Kit de llenado automático hasta 87 psig;
- Kit de llenado de glicol: adecuado para circuitos hidráulicos presurizados;
- Grupo de bombeo automático de glicol;
- Kits de supervisión: RS485 ModBus, xWEB300D;
- Kit de derivación hidráulica automática externa
- Versión 50 Hz: alimentación 400/3/50 Hz; cumple las directivas.
- Ventiladores axiales EC sin escobillas de alta eficiencia con alta presión de cabeza (máx. 150 Pa) y control por inversor;
- TAEevo Tech HE Alta Eficiencia: versión de alta eficiencia clase A Eurovent.
- Doble bomba P3+P3",,,
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas
,,Bombas,Semestral,Inspección general de las bombas centrifugadoras(Verificar temperatura y parametros eléctricos),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Repuestos originales con TAEevo Tech modelo de bomba Lowara NSC"
,,Bombas,Anualmente,"Mantenimiento de los rodamientos de la bomba (Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos NLGI Grado 2 o sus equivalentes
•	Kit de limpieza 
•	Kit de Destornilladores 
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos y poleas"
,,Depósito de expansión cerrado y kit de llenado,Semestral,Verificar el estado y seguridad del tanque,"•	Equipo de protección 
•	Cámara acústica o Manómetro
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo 
•	Kit de Destornilladores
•	Cambio para mangueras"
,,Sistema de Valvulas y Tuberias,Semestral,Comprobar el estado y la seguridad de las conexiones de las tuberías(Verificar que no hay fugas de refrigerante).,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Kit de Destornilladores"
,,Sistema de Valvulas y Tuberias,Cada 2 años,Comprobar el estado y la seguridad de las conexiones de las Válvulas.,"Guantes de seguridad, lentes de seguridad, Cámara acústica o Manometro manual en busca de fugas, Selladores, Llaves y llaves de tubo, abrazaderas, Repuestos DAVIS VALVE modelo 1564, ABZ VALVE modelo 719-953-SSLH,  KECKLEY VALVE modelo 2RFY-36062P36-GBI-SSA7"
,,Ventiladores,Semestral,Verificar que los ventiladores funcionen adecuadamente,"•	Equipo de protección 
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornillador
•	Llaves de boca
•	Multímetro
•	Repuestos originales Ventiladores TAEevo Tech con proteccion IP54"
,,Ventiladores,Trimestral,Comprobar que las rejillas de la secadora están libres de suciedad y de cualquier otra obstrucción.,"•	Equipo de protección 
•	Aspiradora
•	Aire comprimido
•	Kit de limpieza
•	Kit de Destornilladores"
,,Ventiladores,Semestral,Limpiar las aletas del condensador ,"•	Equipo de protección 
•	Aspiradora
•	Aire comprimido
•	Kit de limpieza"
,,Panel de control,Diaramente ,Verificar que no hay mensajes de error y Verificar funcionamiento de manometros y termometros ,"•	Llevar un formato de revisión de rutinas y base de datos
•	Cambio para manómetro y termómetro, si es necesario"
,,Panel de control,Mensual,Verificar  niveles de Temperaturas en la salida de agua evaporada,"•	Equipo de protección 
•	Tener un formato de revision de rutinas y base de datos
En caso de vaciar y llenar el tanque: 
•	Selladores y Abrazaderas
•	Llaves y llaves de tubo
•	Glicol Propileno marca ChemWorld"
,,Panel de Control,Semestral,Inspección visual y limpieza de los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Panel de Control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
