0,1,2,3,4,5
,,,,,
,,,,,
,,Plan de mantenimiento de TSVZ,,,
,,,,,
,,Especificaciones,,,Ilustración del equipo 
,,"•	5 tanques suavizadores:
-	Suavizador 1 Capacidad de 600 p3, Tipo de resina catiónica
-	Suavizador 2 Capacidad de 470 p3, Tipo de resina catiónica
-	Suavizador 3 Capacidad de 470 p3, Tipo de resina catiónica
-	Suavizador 4 Capacidad de 570 p3, Tipo de resina catiónica
-	Suavizador 5 Capacidad de 570 p3, Tipo de resina catiónica",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,Tanque Suavizador,Cada 2 años,Comprobar el estado de los tanques de suavizado interno,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Máquina de Soldar
•	Electrodos o Alambres de Soldadura"
,,Tanque Suavizador,Cada 2 años,Revisar Difusores en el Nivel Superior y Nivel Inferior (Cambiar si es necesario),"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Llevar un formato de revisión de rutinas y base de datos"
,,Tanque Suavizador,Anualmente,Revisar nivel de resina,"•	Equipo de protección 
•	Inspección visual para verificar niveles
•	Llevar un formato de revisión de rutinas y base de datos"
,,"Sistema de tuberias, válvulas y actuadores neumaticos",Anualmente,Comprobar el estado y la seguridad de las conexiones de las tuberías.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Selladores
•	Llaves y llaves de tubo
•	Mazo"
,,"Sistema de tuberias, válvulas y actuadores neumaticos",Anualmente,Comprobar el estado y la seguridad de las conexiones de las válvulas (Revisar Sellos y Empaques),"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Selladores
•	Llaves y llaves de tubo
•	Repuestos valvulas de mariposa PRISMA, KEYSTONE, EMERSON, +GF+"
,,"Sistema de tuberias, válvulas y actuadores neumaticos",Anualmente,Comprobar el estado y funcionamiento de los actuadores automáticos.,"•	Equipo de protección 
•	Manómetro 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores
•	Llaves de tubo
•	Llaves de boca
•	Repuestos actuadores automáticos PRISMA, KEYSTONE, EMERSON, +GF+"
,,Panel de control ,Diariamente,"Inspeccionar unidad de mantenimiento y cambiar envases, si es necesario. ","•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Llevar un formato de revisión de rutinas y base de datos"
,,Panel de control ,Anualmente,Comprobar el estado y la seguridad de las conexiones de las mangueras.,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Repuestos Mangueras flexibles"
,,Panel de control ,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Multímetro
•	Megóhmetro
•	Osciloscopio
•	Llaves de cubo"
,,Panel de control ,Anualmente,Verificar funcionamiento de las Electro válvulas,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Llevar un formato de revisión de rutinas y base de datos"
,,Panel de control ,Anualmente,Inspección visual y limpieza a los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Sensores,Diariamente,Revisar datos y parámetros de Sensor de fluidos ,"•	Equipo de protección 
•	Tener un formato de revision de rutinas y base de datos
En caso de cambio
•	Repuestos originales (SIEMENS, Honeywell y Krohne)
•	Equipo de calibracion
•	Llaves y llaves de tubo
•	Selladores"
,,Sensores,Anualmente,"Verificacion de funcionamiento de medidores de flujo (Medir Temperatura, Tension, Corriente y Aislamiento)","•	Equipo de protección 
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración 
•	Inspeccion visual en busca de daños
En caso de cambio
•	Repuestos originales (Krohne)
•	Llaves y llaves de tubo
•	Selladores"
