0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de CLR,,,
,,,,,
,,Especificaciones tecnicas ,,,Ilustración del equipo 
,,"Clarificador
Motor T7184 de 0.45 HP 60 HZ 1690 RPM
Sistema de engranaje planetario 
",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,Ensamble del Sistema de engranajes,Semestral,"Reengrasar rodamientos y piñones motrices (Lubricación y si es necesario cambio de rodamientos, piñones, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa NLGI grado 2 o sus equivalentes
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves de boca y llaves de cubo 
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores "
,,Ensamble del Sistema de engranajes,Anualmente,"Drenar, descargar y reemplazar aceite del engranje planetario","•	Equipo de protección 
•	Aceite AGMA 6EP ISO 320 o sus equvivalentes
•	Recolector de aceite
•	Kit de limpieza
•	Sellador
•	Llaves de boca y llaves de cubo"
,,Motor Reductor,Mensual,Inspección general del reductor (Verificar temperatura),"•	Equipo de protección 
•	ASEGÚRESE de desconectar o bloquear la alimentación de la unidad
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Cámara térmica
•	Equipo de calibración"
,,Motor Reductor,Mensual,Inspección general del motor (Verificar temperatura y parametros elélctricos),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Retenedores, Juntas y selladores"
,,Motor Reductor,Semestral,Lubricación de las chumaceras (si es necesario cambio de rodamientos),"•	Equipo de protección 
•	Grasa NLGI grado 2 o sus equvivalentes 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
En caso de cambio 
•	Chumacera"
,,Motor Reductor,Mensual,Inspeccion de llantas,"•	Equipo de protección  
•	Inspección visual en busca de daños  y fugas
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Motor Reductor,Anualmente,"Drenar, descargar y reemplazar aceite del reductor ","•	Equipo de protección 
•	Aceite ISO VG 220, Mineral Oil o sus equvivalentes
•	Recolector de aceite
•	Kit de limpieza
•	Retenedores, Juntas y selladores 
•	Llaves de boca y llaves de cubo"
,,Motor Reductor,Anualmente,"Mantenimiento general de los rodamientos del motor y reductor (Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa NLGI grado 2 para rodamientos  o sus equivalentes
•	Llaves de boca y llaves de tubo
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos y poleas
•	Retenedores, Juntas y selladores"
,,Estructura,Cada 2 años,Limpiar óxido en la estructura mecánica,"•	Removedor de oxido
•	Cepillo de alambre
•	Lija de grano grueso
•	Kit de limpieza
•	Pintura antioxidante
•	Llaves y llaves de tubo
•	Kit de destornilladores
•	Brochas o pistola de pintura
•	Mazo"
,,Estructura,Cada 2 años,Limpiar y Repintar,"•	Removedor de oxido
•	Cepillo de alambre
•	Lija de grano grueso
•	Kit de limpieza
•	Pintura anticorrosiva HI-BUILD EPOXOLINE
•	Llaves y llaves de tubo
•	Kit de destornilladores
•	Brochas o pistola de pintura
•	Mazo"
,,Estructura,Cada 2 años,Comprobar la integridad de todas las fijaciones,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema Elélectrico,Semestral,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas (Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
