0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de BBD,,,
,,,,,
,,Especificaciones,,,Ilustración del equipo 
,,"Bomba de diafragma 4.50 GPH, 50 PSI
Capacidad 600 GPH Primario
Capacidad de polímero 1-8 GPH
Presión nominal 100 PSI
Suministro eléctrico 120/1/60, 10 amperios
Dimensiones, cm 32"" H x 21"" W x 15"" D
Motor 1/3 HP, 120VAC, 6 AMPS",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,Motor,Semestral,Inspecciones generales de los motores (Verificar parametros eléctricos y temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Mazo
•	Alicates y tenazas
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores"
,,Motor,Trimestral,"Revisar la integridad de las Fajas y poleas con el sistema mezcladora (Medir su tensión, Cambiar si es nesecario)","•	Equipo de protección 
•	Inspección visual en busca de daños o desgastes (Registro de base de datos)
•	Cámara térmico 
•	Medidor laser de tensión o Kirkit
•	Equipo de calibración y alineación 
•	Medidor de espesor
•	Kit de Destornilladores 
•	Llaves de boca y llaves de cubo"
,,Motor,Cada 5 años,"Cambio de los rodamientos, empaques, retenedores y O-rings","•	Equipo de protección 
•	Llaves de boca y llaves de tubo
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos
•	Rodamientos, Retenedores, Juntas y selladores"
,,Bomba,Anualmente,Calibrar el controlador de presión,"•	Equipo de protección 
•	Tener un formato de los parámetros a utilizar para realizar la calibración y base de datos"
,,Bomba,Anualmente,Reemplazar la membrana,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de cambio de Membrana
•	Kit de limpieza
•	Selladores
•	Kit de Destornilladores
•	Llaves de boca y llaves de cubo"
,,Bomba,Anualmente,"Comprobar el funcionamiento de las Válvulas de cartucho, válvula de bola y resorte de la válvula check de inyección, y si es necesario realizar cambio","•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Cámara acústica
•	Kit de limpieza
•	Selladores
•	Llaves de boca y llaves de cubo"
,,Medidor de Caudal,Mensual,Limpiar el medidor de Caudal,"•	Equipo de protección 
•	Inspección visual en busca de daños y suciedad 
•	Agua tibia con jabón suave
•	Kit de limpieza"
,,Sistema Mezcladora,Semestral,Limpiar el sistema completo,"•	Equipo de protección 
•	Inspección visual en busca de daños y suciedad 
•	Kit de Destornilladores 
•	Kit de limpieza"
,,Sistema Mezcladora,Semestral,Verificar el correcto funcionamiento de la válvula solenoide y del Switch diferencial de presión,"•	Equipo de protección 
•	Inspección visual en busca de daños y suciedad
•	Kit de limpieza
•	Llaves y llaves de tubo
•	Kit de Destornilladores"
,,Sistema Mezcladora,Anualmente,Verificar la integridad y estado del rodamiento y sellos,"•	Equipo de protección 
•	Kit de limpieza
•	Inspección visual en busca de daños o desgastes (Registro de base de datos)
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos
•	En caso de cambio de rodamientos usar rodamiento de una hilera"
,,Panel de control,Diariamente,Revisar datos y parámetros ,"•	Equipo de protección 
•	Tener un formato de revision de rutinas y base de datos"
,,Panel de control,Semestral,Inspección visual y limpieza a los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Panel de control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas (Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas y Tenazas
•	Multímetro"
