0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento TSP,,,
,,,,,
,,Especificaciones,,,Ilustración de equipo
,,"•	Bomba marca GR T3A60S-B SELF PRIMING, 10 HP
•	Motor marca Marathon, 10 HP 60 HZ, 1765 RPM, 230/460 V 62/31 AMP, 215T FRAME, TEFC 
•	Sistema de válvulas y tuberías
•	Panel de control",,,
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas
,,Bomba,Semestral,Inspecciones generales de las bombas(Verificar temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Retenedores, Juntas y selladores
•	Repuestos originales con GORMAN‐RUPP PUMPS modelo GR T3A60S-B"
,,Bomba,Semestral,Verificar funcionamiento y limpiar impulsor de la bomba y cambiar si es necesario ,"•	Equipo de protección 
•	Inspección visual en busca de daños o desgaste
•	Kit de limpieza
•	Llaves de boca y llaves de tubo "
,,Bomba,Anualmente,"Mantenimiento de los rodamientos(Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos SAE No. 30, en caso de cambio rodamiento  en S1749  DE y  23252-013 ODE
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos y poleas 
•	Juntas, Selladores y retenedores"
,,Bomba,Semestral,"Inspeccionar el acople, cambiar si es nesecario","•	Equipo de protección 
•	Inspección visual en busca de daños o desgastes (Registro de base de datos)
•	Cámara térmico 
•	Equipo de calibración y alineación 
•	Medidor de tensión
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
En caso de repuestos originales 
•	Repuestos GORMAN‐RUPP PUMPS"
,,Motor,Semestral,Inspecciones generales de los motores(Verificar parametros eléctricos y temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Alicates y tenazas
•	Extractores de rodamientos y poleas
•	Juntas, retenedores y selladores
•	Repuestos originales con MARATHON"
,,Motor,Semestral,Limpiar el motor y mantener las aberturas de ventilación despejadas,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Motor,Anualmente,"Mantenimiento de los rodamientos(Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos Mobil Polyrex® EM o sus equivalentes, en caso de cambio rodamientos 6307 DE y 6206 ODE
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos y poleas 
•	Juntas, Selladores y retenedores"
,,Sistema de Válvulas y Tuberias,Anualmente,Comprobar el estado y la seguridad de las conexiones de las tuberías.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Selladores
•	Llaves y llaves de tubo"
,,Sistema de Válvulas y Tuberias,Anualmente,Inspeccionar el estado y la seguridad de la válvula de alivio de presión y válvula check,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Inspeccíón visual en busca de daños
•	Kit de limpieza
•	Selladores
•	Llaves y llaves de tubo"
,,Sistema de Válvulas y Tuberias,Anualmente,Comprobar el estado y la seguridad de las conexiones de las válvulas,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Selladores
•	Llaves y llaves de tubo"
,,Panel de Control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
,,Panel de control,Semestral,Inspección visual y limpieza a los ventiladores de refrigeración y a los componentes eléctricos,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Panel de control,Anualmente,"Comprobar el estado y la seguridad del cableado en los variadores de frecuencia(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas y Tenazas
•	Multímetro
•	Megóhmetro
•	Osciloscopio
•	Llaves dinamométricas
•	Alicates"
,,Panel de control,Anualmente,"Comprobar el funcionamiento de los IGBT y Capacitores en el Bus de CC (Realizar pruebas de medición, verificar temperaturas y cambiar si es necesario)","•	Equipo de protección 
•	Cámara termica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Tenazas y Alicates
•	Multímetro
•	Llaves dinamométricas
•	Kit de cambio IGBT
•	Kit de Capacitadores"
