0,1,2,3,4,5
,,,,,
,,Mantenimiento ,,,
,,,,,
,,Especificaciones Tecnicas,,,Ilustración de equipo 
,,"Transformador 46/23kV trifasico de 15/20 MVA, DYn1 y Cambiador de TAP de 23 posiciones ",,,
,,Partes,Intervalo,Labor de mantenimiento  ,Materiales y Herramientas
,,Transformador,Anual,Pruebas electricas (Aislamiento y relacion de transformacion),Labor especializada se debe subcontratar 
,,Transformador,Anual,Cromatografia de gases disueltos en aceite (Incluyendo furanos) ,Labor especializada se debe subcontratar 
,,Transformador,Anual,Prueba de rigidez dielectrica ,Labor especializada se debe subcontratar 
,,Transformador,Según analisis,Desgasificado y extraccion de humedad en aceite ,Labor especializada se debe subcontratar 
,,Cambiador de Taps,Anual,Cromatografia de gases disueltos en aceite (Incluyendo furanos) ,Labor especializada se debe subcontratar 
,,Cambiador de Taps,Anual,Prueba de rigidez dielectrica ,Labor especializada se debe subcontratar 
,,Cambiador de Taps,7 años,Mantenimiento Mayor de 7 años según manual,Labor especializada se debe subcontratar 
