0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de BSCI,,,
,,,,,
,,Especificaciones tecnicas ,,,Ilustración del equipo 
,,"Descripción básica del motor JU6H-UF50
Fabricante del motor: John Deere Co.
Tipo de encendido: Compresión(Diesel)
Número de cilindros: 6
Diámetro y Carrera - in (mm): 4.19(106) X 5(127) 
Cilindrada - in³ (L): 415(6.8)
Relación de compresión: 17 .0:1
Válvulas por cilindro: 
- Admisión 1
- Escape 1
Sistema de combustión: Inyección directa
Tipo de motor: En línea, ciclo de 4 tiempos
Control de gestión de combustible: Mecánico, bomba rotativa
Orden de encendido (rotación en sentido horario): 1-5-3-6-2-4
Aspiración: Turbocargado
Tipo de refrigeración del aire de carga: NINGUNA
Rotación, vista desde la parte delantera del motor, en el sentido de las agujas del reloj (CW): Estándar 
Sistema de ventilación del cárter del motor: Abierto
Peso - lb (kg): 1657 (752)
Potencia - CV (kW: 1760 RPM 183(137) --- 2100 RPM 210(157)",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,Sistema de motor diésel,Semanal,Inspeccionar que el tanque de combustible está lleno en al menos dos tercios,"•	Equipo de protección 
•	Inspección visual del nivel de combustible
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema de motor diésel,Semanal,Inspeccionar que el interruptor del selector del controlador está en posición automática.,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema de motor diésel,Semanal,Inspeccionar que las lecturas del voltaje de las baterías es dentro del rango aceptable.,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de motor diésel,Semanal,Inspeccionar que las lecturas de la corriente de carga de las baterías están dentro del rango aceptable.,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de motor diésel,Semanal,Inspeccionar que las luces del piloto de las baterías están encendidas o las luces del piloto de falla de la batería están apagada.,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de motor diésel,Semanal,Revisar q todas las luces del piloto de la alarma están apagadas.,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema de motor diésel,Semanal,Inspeccionar que el medidor de tiempo de funcionamiento del motor toma la correspondiente lectura.,"•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de motor diésel,Semanal,Inspeccionar que el nivel de aceite en el impulsor de los engranajes de ángulo recto está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual del nivel de aceite
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema de motor diésel,Semanal,Inspeccionar que el nivel de aceite del cárter está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual del nivel de aceite
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
